Rownum,Predicteddate
0,20102837.396229424
1,20066020.464921888
2,20151595.366696052
3,20112614.58353847
4,20154358.154326625
5,20111287.033183713
6,20075229.2124112
7,20161237.2404763
8,20156972.139564455
9,20071761.543526378
10,20069095.811876703
11,20110417.956625257
12,20139784.408851117
13,20141856.07264201
14,20152372.14005947
15,20143272.96041571
16,20060756.90392074
17,20166918.463535074
18,20149491.415895417
19,20139953.800968803
20,20142530.6939222
21,20068660.74836314
22,20078276.298963334
23,20087155.538263325
24,20148742.75855337
25,20087617.83107798
26,20038007.49149875
27,20071955.077839155
28,20176308.52586321
29,20154162.321030203
30,20105434.489759848
31,20076100.46833313
32,20168043.527903687
33,20081061.59487958
34,20119037.15218072
35,20053357.24570539
36,20096468.34624565
37,20154697.469593402
38,20126734.27498655
39,20107038.87110077
40,20139280.76052012
41,20154434.630334936
42,20150412.193088412
43,20027958.378437873
44,20114784.52413014
45,20140568.16740315
46,20141575.655976925
47,20079214.076357115
48,20156818.677030977
49,20167444.128863007
50,20086576.546937536
51,20062013.99313992
52,20112810.378025718
53,20139899.215991486
54,20185314.91368341
55,20095552.089397002
56,20151774.525610067
57,20096961.625469062
58,20159081.570351746
59,20194520.518095076
60,20111792.506885372
61,20174414.60324419
62,20024108.716149315
63,20114240.534045957
64,20121216.364166018
65,20176624.69807783
66,20154696.42593368
67,20076531.16466021
68,20164552.446677588
69,20012612.178971406
70,20060792.16092404
71,20168258.7700513
72,20132252.32280933
73,20163242.006734375
74,20127698.902057722
75,20154356.752392434
76,20167016.408967108
77,20121329.634011704
78,20057093.04285834
79,20082539.882323094
80,20133343.267907307
81,20142365.0927675
82,20171345.47706543
83,20116214.30750517
84,20005089.78537639
85,20154029.75349643
86,20149522.612190522
87,20153159.96325181
88,20117556.998334877
89,20131601.960172366
90,20056358.705132376
91,20076302.41276469
92,19964964.321392555
93,20134429.335113503
94,20148214.22046832
95,20084750.287083343
96,20011048.317057803
97,20158883.21741139
98,20131335.681519974
99,20122460.388032287
100,20166366.299809255
101,20046613.76568458
102,20143600.105982658
103,20129079.25747706
104,20094945.135372173
105,20152859.760473277
106,20150266.031551268
107,20147508.360239554
108,20174100.888502274
109,20115634.45401618
110,20117173.401106544
111,20146535.65759623
112,20177745.45474466
113,20115793.74141354
114,20077496.292123593
115,20048100.188192826
116,20073903.929705344
117,20084081.17673397
118,20022621.718652435
119,20060927.447706003
120,20026146.519844703
121,20150009.270133268
122,20053658.852976363
123,20166612.76347041
124,20039044.614439342
125,20172543.265027218
126,20062928.64719439
127,20176841.68272668
128,20109373.745163698
129,20045667.7955237
130,20089773.77368752
131,20164210.611643538
132,20177931.868760984
133,20148005.46387528
134,20090488.58365575
135,20156519.618587118
136,20152673.022135194
137,20099895.699782193
138,20178841.261461303
139,20102150.79890147
140,20173334.807608936
141,20167910.139556937
142,20142960.161368337
143,20154102.83864681
144,20176150.23532567
145,20111671.348485216
146,20129645.838377718
147,20089132.748191252
148,20109987.18748612
149,20072240.72543796
150,20129768.026939623
151,20090101.31670141
152,20143178.529995628
153,20107373.03722668
154,20130952.345272563
155,20149599.48228224
156,20058290.59825135
157,20091279.96326189
158,20050138.083306205
159,20143820.655342147
160,20090423.56841432
161,20128691.389017552
162,20061850.363799702
163,20158784.56161702
164,20141635.68423443
165,20021844.370491046
166,20143322.389204055
167,20152826.135102298
168,20110746.835259873
169,20065910.28876713
170,20077965.68072938
171,20152821.40897488
172,20140839.88998553
173,20130410.535540465
174,20189695.058512423
175,20162873.036903646
176,20160410.59912411
177,20187277.73549419
178,20168756.40184666
179,20159576.671893794
180,20186706.296626896
181,20031380.609527223
182,20156499.679764528
183,20139874.12830373
184,20095542.304161996
185,20006680.749867048
186,20063149.215310074
187,20101224.71180346
188,20065453.20586069
189,19989358.85733091
190,20144185.882119928
191,20143148.202952154
192,20147411.390258797
193,20149854.674678195
194,20057969.504963968
195,20147696.07163834
196,20179971.6490169
197,19989974.595121026
198,20114355.989764832
199,20146428.115784828
200,20135620.35752012
201,20086609.725865707
202,20077926.366618164
203,20170156.315976635
204,20146117.71590892
205,20127958.9313856
206,20114700.626142334
207,20151894.90182886
208,20117552.0665631
209,20113623.185821556
210,20136272.27053141
211,20133420.158334076
212,20117590.60741643
213,20134581.729676213
214,20143739.637154542
215,20111810.017662685
216,20071567.980908267
217,20174652.04972979
218,20191395.230221264
219,20050981.720948003
220,20152202.758785743
221,20140950.635413684
222,20050811.6872459
223,20083123.192820612
224,20116763.134783383
225,20160623.833803985
226,20075185.086955678
227,20036327.165776968
228,20081841.689677004
229,20163186.026283316
230,20010947.248304408
231,20167259.99782637
232,20035321.889969967
233,20157302.206478816
234,20104698.291126728
235,20162904.576973498
236,20148484.632499926
237,20041393.1661925
238,20173721.434173744
239,20141088.9003937
240,20101151.931402523
241,20156129.735050358
242,19981658.088205066
243,20139460.637031965
244,20099027.75845392
245,20118326.58846473
246,20069740.062673386
247,20100734.63725367
248,20117466.937258136
249,20190052.36257827
250,20177884.908016
251,20058445.190819085
252,20048309.715305664
253,20112965.533550017
254,20155524.899440255
255,20167441.793035913
256,20073900.837399475
257,20113865.384711754
258,19994035.16808225
259,20138031.34475162
260,20145692.006794155
261,20172018.62174833
262,20151782.914796848
263,20160087.195435356
264,20154803.65289477
265,20105079.551981702
266,20133890.242776103
267,20141146.945466176
268,20159437.84224941
269,20131769.424655687
270,20161837.567728575
271,20160266.192771014
272,20078433.298860002
273,20069880.377827458
274,20149389.18123192
275,20126602.87548347
276,20130581.257506214
277,20098823.95999859
278,20165203.437429693
279,20155611.25893731
280,20158890.69619646
281,20159248.599855345
282,20155825.943277933
283,20147118.302016497
284,20130663.16058944
285,20129434.417324316
286,20085727.027337138
287,20110818.515107792
288,20138346.485536285
289,20168508.92250668
290,20139935.39809931
291,20145288.36470157
292,20046628.075580582
293,20158087.705557063
294,20137702.12303235
295,20138177.206251215
296,20071861.117484774
297,20147593.46704683
298,20063094.426980965
299,20103239.811307855
300,20130447.811170436
301,20186126.214159127
302,20143240.581143666
303,20119930.85288959
304,20136206.210759286
305,20128693.051559288
306,20076309.56595361
307,20106874.581748832
308,19988013.07780477
309,20141830.766641594
310,20129842.72242581
311,20117322.413595676
312,20173840.308458645
313,20107863.3264409
314,20057472.62863649
315,20178659.25768669
316,20038777.33068683
317,20169984.894253902
318,20170783.030238267
319,20013592.059605192
320,20131189.138786864
321,20105236.901740417
322,20035196.484860245
323,20020392.428070143
324,20121757.65613891
325,20096830.10084942
326,20182574.21994206
327,20170499.831626415
328,20160165.543981418
329,20152971.83820263
330,20167700.01557528
331,20124028.60141944
332,19953222.44835032
333,20140490.013731457
334,20148512.734415125
335,20141655.067778215
336,20130351.572010178
337,20110093.35564226
338,19948631.32885269
339,20142620.214428276
340,20140273.291644264
341,19995321.00588057
342,20141321.884289365
343,20162858.696823746
344,20028996.151321005
345,20177058.30895758
346,20105328.762959916
347,20112504.42112203
348,20102821.381298594
349,20004882.460803624
350,20098366.906117883
351,20115287.966433793
352,20092034.794219397
353,20040895.76561004
354,20067840.384288263
355,20176888.76182972
356,20060207.041346326
357,20139989.62596058
358,20121503.839492775
359,20099620.616876453
360,20145062.278009534
361,20160651.238046493
362,20089106.2137445
363,20023834.39860342
364,20137703.624901813
365,20147284.62777866
366,20110978.2037123
367,20162348.348814283
368,20117139.985591054
369,20120641.290691108
370,20096568.240223814
371,20165761.537735544
372,20166887.819216687
373,20165722.760658033
374,20115284.272838753
375,20137021.129218396
376,20100489.20527311
377,20125959.149461377
378,20201350.205072638
379,20143599.882660847
380,20104828.563770674
381,20030976.24930085
382,20169031.790451586
383,20119698.4807231
384,20101322.12610375
385,20127727.971958574
386,20095600.172273364
387,20101965.817594245
388,20138504.229340576
389,20137156.379504655
390,20159989.483078647
391,20176293.23099678
392,20047853.98350535
393,20158249.93496836
394,20109927.02479063
395,20134720.015816372
396,20142077.483273845
397,20143157.480045784
398,20146693.34949631
399,20137160.17017634
400,20148689.523183428
401,20049518.109300338
402,20003462.048355225
403,20090932.461298876
404,20187363.939176008
405,20090517.727591094
406,20174921.6727696
407,20001400.41199101
408,20098092.17426484
409,20160910.864538986
410,20131321.73153656
411,20123307.54869582
412,20173748.088706475
413,20098815.250660058
414,19997324.247798648
415,20137523.531052943
416,20027913.58151995
417,20148704.992717035
418,20128073.84173319
419,20007781.853885885
420,20135768.11052907
421,20082988.47039812
422,20051735.101135127
423,20046946.43387817
424,20183913.918506354
425,20172688.207727205
426,20141751.994809806
427,20083720.427578684
428,20171013.825026233
429,20104773.579286657
430,20166227.00178458
431,20093291.552839022
432,20055334.307120517
433,20149007.003179416
434,20091845.018019862
435,20149189.314249378
436,20136214.28424918
437,19987300.681031335
438,20067897.887214843
439,20103937.732571863
440,20119679.31084038
441,20129933.647700775
442,20163498.278520804
443,20171366.411148615
444,20066874.290267203
445,20121358.915320773
446,20119827.48074245
447,20124784.785800576
448,20168273.51841375
449,20155311.09517508
450,20084565.262838542
451,20095971.62370671
452,20156664.264432076
453,20075434.125750266
454,20168753.894857522
455,20156771.99144305
456,20083580.403101243
457,20077146.90110367
458,20042367.651635706
459,20123021.453181412
460,20170871.053300895
461,20165329.396469813
462,20138453.713919535
463,20179383.761635464
464,20075567.50574112
465,20192750.225360207
466,20061743.613766324
467,20073252.87330898
468,20170444.277638834
469,20145761.241343807
470,20146802.87265001
471,20136973.662245933
472,20158106.527753897
473,20136535.268955108
474,20145943.552532922
475,20163061.378373086
476,20056865.252240743
477,20034760.928634178
478,20098429.14520546
479,20135390.679287944
480,20177393.805986807
481,20198403.92936954
482,20169509.840959217
483,20082451.142483912
484,20043246.726883817
485,20177207.30606641
486,20119827.474116847
487,20156207.42564555
488,20120296.080687717
489,20118098.688391913
490,20151966.966045197
491,20130338.005328484
492,20114413.96311922
493,20198525.771008834
494,20160297.714924067
495,20075726.999906804
496,20138960.290525742
497,20182145.385980494
498,20166813.49226963
499,20133431.737746377
500,20145534.21583564
501,20119629.97575556
502,20079953.521361265
503,20047266.531157374
504,20130894.265330285
505,20170478.47929086
506,20152612.51187014
507,20163136.861586254
508,20071199.955325812
509,20063518.2003529
510,20109590.477480445
511,20126809.079457324
512,20061026.608711887
513,20056618.684604723
514,20139097.89876487
515,20176217.746580187
516,20169813.287059695
517,20156174.81584406
518,20074038.460455667
519,20081114.860270914
520,20088097.55025021
521,20099181.976777017
522,20109817.69200372
523,20157061.771888565
524,20173442.864721566
525,20101983.133423835
526,20121138.373907853
527,20171470.746780995
528,20131163.681447003
529,20095183.113940038
530,20161588.402319744
531,20060565.17250159
532,20169281.14148921
533,20121500.03004024
534,20073405.34616076
535,20003991.610685512
536,20153822.19956233
537,20140934.23642283
538,20130453.224019174
539,20083564.371038456
540,20177848.473506197
541,20057159.72074906
542,20138658.880962458
543,20176641.15009816
544,20005054.13533791
545,20032588.218586005
546,20133317.97733111
547,20033543.20432721
548,20068390.556514494
549,20145503.186654195
550,20093321.50194265
551,20119597.02447185
552,20164996.652635306
553,20109330.466308672
554,20159786.749459956
555,20033224.39505616
556,20064458.395524956
557,20153766.482939865
558,20167934.97208406
559,20131098.76889739
560,20173098.160654392
561,20094354.427795567
562,20152685.199793253
563,20170274.99202793
564,20163256.914380692
565,20135234.073690087
566,20169919.90483557
567,20109454.502207316
568,20155621.0416008
569,20133843.38804603
570,20116308.91664136
571,20158554.14117953
572,20159366.346946046
573,20146119.3892437
574,20177872.629191864
575,20082107.009024035
576,20135954.926607154
577,20080218.296980187
578,20155312.441612702
579,20168271.996505514
580,20081122.349996563
581,20170837.919041224
582,20042260.13889248
583,20048541.127076905
584,20122873.69963397
585,20126369.61077995
586,19994296.17140151
587,20150725.60423695
588,20113308.486301687
589,20044172.73637333
590,20066014.094948005
591,20084551.06866793
592,20149624.427408498
593,20174694.7616859
594,20122550.12432228
595,20172230.15418732
596,20014186.53289858
597,20146324.6209333
598,20153523.12236629
599,20019346.24550777
600,20130211.474436387
601,20154244.93147862
602,20009292.62181107
603,20173934.967534423
604,20118020.43301326
605,19995141.40066838
606,20141027.397105902
607,20128407.241463747
608,20043826.856366716
609,20118982.001210276
610,20170897.424295813
611,20166746.720925845
612,20092595.34970449
613,20117237.05847407
614,20144509.983698383
615,20152715.505464938
616,20115690.19196469
617,20157909.70432445
618,20091439.910001807
619,20083692.23272848
620,20152874.1352223
621,20119067.37371513
622,20171157.266958598
623,20121949.983753514
624,20137654.0267413
625,20141771.518045705
626,20146870.535272267
627,20094024.54311975
628,20147465.578240257
629,20101813.0153678
630,20042073.23351583
631,20149379.835501015
632,20137182.588928964
633,20157339.947933782
634,20187849.961516764
635,20039063.28497345
636,20134458.787274763
637,20129856.470350824
638,20173869.329819873
639,20062706.8632982
640,20008557.264440488
641,20150812.38015987
642,20134590.335524086
643,20055510.178995714
644,20102512.301944945
645,20105769.608058546
646,20094096.663218565
647,20046185.818948466
648,20130001.345493123
649,20112106.531680014
650,20161233.26123425
651,20165109.697748773
652,20040365.06130195
653,20138035.060846362
654,20152623.18655679
655,20172202.03858206
656,20164725.603812348
657,20155791.166955784
658,20141793.28119329
659,20187084.404083297
660,20076325.642337073
661,20050283.782063644
662,20117273.29292778
663,20064380.273606
664,20142083.10478459
665,20132062.874108233
666,20159733.074324265
667,20088843.078409974
668,20060890.161098868
669,20158060.9355685
670,20030806.319732234
671,20087414.317453366
672,20097755.887132768
673,20086271.78797462
674,20080227.1665812
675,20147674.767362244
676,20050112.078348797
677,20126919.44272258
678,20148404.85468092
679,20014224.843738787
680,20042904.80842949
681,20077980.857488193
682,20117773.47349924
683,20148381.39457591
684,20160933.666204236
685,20130657.14427639
686,20140874.965439722
687,20129438.05224346
688,20079841.28942145
689,20152947.163342096
690,20150741.137848627
691,20190374.85670137
692,20162647.639208913
693,20144332.263110306
694,20065804.181034654
695,20106220.439582143
696,20158695.53357842
697,20185486.963612072
698,20113562.950346086
699,20000724.199809067
700,20126942.52969393
701,20144882.833240397
702,20057391.7226564
703,20158523.061549444
704,20148922.772216436
705,20133439.982041027
