Rownum,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Mean AQI
470556,0.040059,0.052,10,48,0.379167,0.5,6,6.0,0.7875,2.0,6,3.0,8.6625,32.4,6,30,21.75
225211,0.034294,0.066,10,87,0.3875,0.7,6,8.0,1.434783,7.0,7,10.0,25.842105,39.0,23,37,35.5
375782,0.034588,0.068,10,93,0.666667,0.9,7,10.0,0.378261,0.7,4,0.0,27.347826,45.5,9,42,36.25
226040,0.010824,0.019,11,18,0.833333,1.3,4,15.0,0.217391,1.0,5,1.0,31.777778,38.0,20,36,17.5
341954,0.023176,0.041,9,38,0.383333,0.6,5,7.0,0.46087,1.1,18,1.0,18.572727,33.1,21,31,19.25
119678,0.022294,0.038,12,35,0.458333,0.7,1,8.0,1.608696,3.0,5,4.0,18.73913,32.0,0,30,19.25
225283,0.013412,0.033,10,31,0.725,1.3,11,15.0,0.571429,2.0,6,3.0,36.666667,58.0,9,55,26.0
562685,0.028,0.04,9,37,0.25,0.3,4,3.0,0.179167,0.5,6,0.0,9.370833,16.8,7,15,13.75
562792,0.025,0.052,11,48,1.183333,1.4,11,16.0,0.5,0.8,8,0.0,30.608333,46.8,10,43,26.75
26867,0.024059,0.049,10,45,0.870833,1.3,11,15.0,1.521739,3.0,8,4.0,43.217391,66.0,10,64,32.0
225325,0.016444,0.02,12,19,1.304167,1.7,4,19.0,1.0,5.0,11,7.0,55.869565,115.0,11,104,37.25
225232,0.024176,0.05,10,46,0.254167,0.4,13,5.0,0.0,0.0,0,0.0,16.642857,31.0,23,29,20.0
341862,0.028824,0.053,10,49,0.179167,0.3,6,3.0,0.1333329999999999,0.3,9,0.0,23.136364,47.5,9,44,24.0
562889,0.016941,0.036,10,33,0.454167,0.8,23,9.0,0.391667,1.1,19,1.0,26.666667,48.4,20,45,22.0
469534,0.022176,0.044,11,41,0.354167,0.5,7,6.0,0.316667,0.6,7,0.0,22.004167,42.9,20,40,21.75
438413,0.018176,0.032,10,30,0.308333,0.4,22,5.0,0.0125,0.2,15,0.0,16.517391,29.6,22,27,15.5
97719,0.052353,0.065,9,84,0.0541669999999999,0.1,0,1.0,3.608696,10.0,3,14.0,5.391304,21.0,3,20,29.75
439635,0.040412,0.047,8,44,0.1,0.1,0,1.0,0.491667,1.4,7,1.0,2.879167,12.1,7,11,14.25
438645,0.034643,0.039,9,36,0.228571,0.3,2,3.0,0.266667,0.5,5,0.0,11.109524,22.9,5,21,15.0
531147,0.015,0.034,9,31,0.958333,1.2,2,14.0,0.625,1.1,22,1.0,40.029167,60.4,18,57,25.75
375651,0.036286,0.049,10,45,0.179167,0.3,9,3.0,0.113043,0.5,4,0.0,12.785714,23.1,6,22,17.5
225715,0.017353,0.027,16,25,0.954167,1.7,10,19.0,1.608696,5.0,9,7.0,33.086957,65.0,12,63,28.5
119794,0.026471,0.044,11,41,0.475,0.8,11,9.0,0.0,0.0,0,0.0,36.391304,64.0,10,62,28.0
96997,0.029176,0.048,10,44,0.466667,0.7,10,8.0,2.130435,3.0,5,4.0,28.086957,47.0,0,44,25.0
563024,0.003,0.006,8,6,1.1375,1.4,22,16.0,0.625,1.4,22,1.0,39.7125,44.3,10,42,16.25
142796,0.035706,0.075,9,115,0.7,1.0,5,11.0,0.695652,2.0,12,3.0,39.73913,74.0,10,72,50.25
119950,0.005471,0.014,8,13,1.370833,1.8,0,20.0,3.782609,6.0,5,9.0,34.260870000000004,47.0,7,44,21.5
197139,0.014706,0.02,13,19,0.6875,0.9,0,10.0,1.130435,4.0,10,6.0,33.782609,49.0,22,46,20.25
253317,0.041353,0.045,7,42,0.3125,0.4,0,5.0,0.356522,1.6,8,1.0,3.208696,11.6,8,10,14.5
531821,0.031176,0.039,9,36,0.1,0.1,0,1.0,0.1125,0.2,9,0.0,2.745833,11.9,22,10,11.75
225205,0.020353,0.037,11,34,0.2875,0.6,11,7.0,0.782609,3.0,8,4.0,25.052632,49.0,9,46,22.75
225832,0.034077,0.045,11,42,0.406667,0.6,18,7.0,1.368421,7.0,9,10.0,12.25,27.0,5,25,21.0
592311,0.038471,0.054,10,50,0.266667,0.3,2,3.0,0.375,0.6,11,0.0,10.020833,17.5,9,16,17.25
196484,0.022588,0.042,11,39,0.175,0.4,1,5.0,0.0,0.0,0,0.0,38.26087,62.0,20,60,26.0
277418,0.036176,0.044,10,41,0.245833,0.3,0,3.0,0.0,0.0,0,0.0,8.979167,15.3,6,14,14.5
142840,0.011353,0.025,9,23,0.2125,0.3,10,3.0,4.086957,9.0,10,13.0,20.391304,35.0,11,33,18.0
