,NewDate
470556,20170420
225211,20090712
375782,20140913
226040,20091215
341954,20131117
119678,20050226
225283,20090922
562685,20200727
562792,20200911
26867,20010522
225325,20091103
225232,20090802
341862,20130914
562889,20201026
469534,20170228
438413,20160110
97719,20040918
439635,20160716
438645,20160523
531147,20191108
375651,20140709
225715,20090107
119794,20050701
96997,20040814
563024,20201207
142796,20060603
119950,20051205
197139,20080116
253317,20100531
531821,20190805
225205,20090706
225832,20090514
592311,20210528
196484,20080310
277418,20110910
142840,20060717
277571,20111206
501189,20180512
341654,20130602
407878,20150411
278301,20110524
407387,20150912
592434,20210629
3173,20000719
341651,20130601
438545,20160401
277463,20111013
225923,20090818
375626,20140627
469695,20170529
197453,20081205
51044,20021223
197209,20080327
439528,20160331
563107,20200110
119760,20050527
530817,20190531
96994,20040805
591922,20210105
592416,20210624
196530,20080425
530740,20190417
119661,20050209
438625,20160511
3034,20000302
376553,20141009
278464,20111107
197439,20081121
562492,20200515
51009,20021118
50066,20020228
592318,20210530
469686,20170524
500600,20180929
120502,20050610
592558,20210427
439009,20161126
530709,20190330
120480,20050519
167778,20070728
530653,20190302
341748,20130719
470006,20171101
168415,20070522
27014,20011016
225886,20090712
500187,20180126
252276,20100701
278467,20111110
341939,20131110
26099,20010706
120572,20050819
27048,20011119
341970,20131125
439067,20161227
120453,20050422
50086,20020320
500462,20180722
438457,20160203
50805,20020428
438835,20160830
143642,20061023
375614,20140621
277380,20110803
226050,20091225
500734,20181227
563304,20200728
592259,20210515
531937,20191201
469944,20171001
407147,20150408
375373,20140218
439458,20160121
407843,20150307
96846,20040213
74946,20031014
225328,20091106
26882,20010606
74805,20030519
167618,20070204
26160,20010910
500341,20180513
197161,20080208
531165,20191117
142831,20060708
375606,20140617
120552,20050730
592172,20210420
277385,20110808
376580,20141105
197239,20080505
376448,20140626
530611,20190208
375658,20140713
96806,20040103
563299,20200723
500416,20180626
226052,20091227
500545,20180901
277460,20111011
563259,20200612
470575,20170509
592038,20210224
562204,20200225
469487,20170205
142994,20061223
3157,20000703
97601,20040512
225318,20091027
97765,20041105
562626,20200705
143622,20061003
562770,20200831
225222,20090723
167650,20070319
530571,20190119
27078,20011222
167910,20071215
50970,20021010
469694,20170528
26934,20010728
167635,20070304
50088,20020322
342830,20131209
563082,20201227
225816,20090427
375687,20140727
407355,20150811
341460,20130201
3090,20000427
119665,20050213
407331,20150718
341875,20130921
277511,20111106
592461,20210120
562617,20200702
439678,20160908
531795,20190710
341479,20130304
277331,20110603
469540,20170303
26207,20011030
408073,20151104
252253,20100608
196730,20081204
120478,20050517
196456,20080211
74732,20030223
74828,20030616
119640,20050119
591929,20210107
438671,20160605
592110,20210327
469645,20170503
3288,20001111
563081,20201227
592398,20210620
26854,20010509
50846,20020608
277247,20110111
470057,20171214
142695,20060222
97657,20040710
562636,20200707
438492,20160305
500268,20180315
196612,20080808
530960,20190806
196633,20080829
196469,20080224
341659,20130605
501344,20181014
309447,20121121
531753,20190529
500712,20181208
375313,20140119
341843,20130905
563404,20201109
592443,20210102
120622,20051008
531179,20191124
197420,20081102
51029,20021208
196457,20080212
438630,20160513
439579,20160521
51017,20021126
142838,20060715
277593,20111221
500498,20180809
50721,20020203
591968,20210127
96895,20040426
342630,20130423
469987,20171023
341742,20130716
530955,20190804
26779,20010223
531193,20191201
531640,20190205
3216,20000831
562603,20200627
27013,20011015
342755,20130925
119779,20050615
309992,20120430
26126,20010802
26153,20010903
277613,20111231
407374,20150830
592574,20210522
119631,20050110
143666,20061116
252362,20100925
531731,20190507
341935,20131108
74700,20030122
439730,20161107
3291,20001114
530559,20190113
531829,20190813
470519,20170314
252337,20100831
439042,20161214
376617,20141212
142742,20060410
438617,20160507
469992,20171025
500635,20181017
197216,20080403
277537,20111119
342726,20130827
225260,20090830
167826,20070914
531703,20190409
592064,20210308
376589,20141114
168539,20070923
592420,20210625
592389,20210617
469737,20170620
470505,20170228
501294,20180825
469441,20170111
407194,20150502
196656,20080921
197146,20080123
